,,,,,,,Misc,Misc,,Approx Val,Approx Val,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
5,154,NOR,Tyeler Davison\DaviTy01,DT,22,2019,0,0,4,23,17,77,0,0,0,0,0,0,0,0,0,0,0,75,,4.5,Fresno St.,College Stats
5,155,BUF,Karlos Williams\WillKa01,RB,22,2015,0,0,0,4,4,11,0,0,0,0,0,93,517,7,11,96,2,,,,Florida St.,College Stats
5,156,MIA,Tony Lippett\LippTo00,WR,23,2018,0,0,1,6,6,28,0,0,0,0,0,0,0,0,0,0,0,58,4,,Michigan St.,College Stats
5,157,CIN,C.J. Uzomah\UzomC.00,TE,22,2019,0,0,3,9,9,61,0,0,0,0,0,0,0,0,106,1011,7,10,,,Auburn,College Stats
5,158,ARI,Shaquille Riddick\RiddSh00,DE,22,,0,0,0,,,,,,,,,,,,,,,,,,West Virginia,College Stats
5,159,ARI,JJ Nelson\NelsJJ00,WR,23,2019,0,0,0,12,12,58,0,0,0,0,0,12,120,1,85,1475,11,1,,,Ala-Birmingham,
5,160,PIT,Jesse James\JameJe00,TE,21,2019,0,0,3,10,10,72,0,0,0,0,0,0,0,0,136,1331,9,,,,Penn St.,College Stats
5,161,OAK,Neiron Ball\BallNe00,OLB,23,2015,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,7,,1.0,Florida,College Stats
5,162,TAM,Kenny Bell\BellKe02,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Nebraska,College Stats
5,163,DAL,Ryan Russell\RussRy00,DE,23,2017,0,0,0,4,0,23,0,0,0,0,0,0,0,0,0,0,0,17,,3.0,Purdue,College Stats
